"","date","hits","keyword","geo","time","gprop","category"
"1",2016-09-25,39,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"2",2016-10-02,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"3",2016-10-09,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"4",2016-10-16,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"5",2016-10-23,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"6",2016-10-30,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"7",2016-11-06,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"8",2016-11-13,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"9",2016-11-20,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"10",2016-11-27,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"11",2016-12-04,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"12",2016-12-11,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"13",2016-12-18,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"14",2016-12-25,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"15",2017-01-01,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"16",2017-01-08,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"17",2017-01-15,36,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"18",2017-01-22,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"19",2017-01-29,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"20",2017-02-05,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"21",2017-02-12,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"22",2017-02-19,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"23",2017-02-26,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"24",2017-03-05,69,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"25",2017-03-12,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"26",2017-03-19,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"27",2017-03-26,36,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"28",2017-04-02,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"29",2017-04-09,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"30",2017-04-16,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"31",2017-04-23,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"32",2017-04-30,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"33",2017-05-07,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"34",2017-05-14,37,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"35",2017-05-21,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"36",2017-05-28,77,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"37",2017-06-04,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"38",2017-06-11,38,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"39",2017-06-18,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"40",2017-06-25,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
"41",2017-07-02,0,"BOA running shoes","world","2016-09-21 2021-09-21","web",0
